x i1 i2 i3 i4 i5 i6 i7 i8
0.410000 0.000000 0.000094 0.000214 0.000344 0.000480 0.000622 0.000768 0.000917
0.420000 0.000000 0.000094 0.000214 0.000344 0.000480 0.000622 0.000768 0.000917
0.430000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000622 0.000768 0.000917
0.440000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000622 0.000768 0.000917
0.450000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000768 0.000917
0.460000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000768 0.000917
0.470000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000768 0.000917
0.480000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.490000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.500000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.510000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.520000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.530000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.540000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.550000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000918
0.560000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000623 0.000769 0.000919
0.570000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000624 0.000770 0.000919
0.580000 0.000000 0.000094 0.000214 0.000344 0.000481 0.000624 0.000770 0.000919
0.590000 0.000000 0.000094 0.000214 0.000344 0.000482 0.000624 0.000770 0.000919
0.600000 0.000000 0.000094 0.000214 0.000344 0.000482 0.000624 0.000770 0.000919
0.610000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000919
0.620000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000919
0.630000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000919
0.640000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000920
0.650000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000920
0.660000 0.000000 0.000094 0.000214 0.000345 0.000482 0.000624 0.000770 0.000920
